Drug1,Drug2,Severity,Interaction,Mechanism,Pharmacokinetics,Pharmacodynamics,Effect_Change,Why_Explanation,Cytochrome,Dose_Consideration,Therapeutic_Index,Onset,Route_Impact,Patient_Factors,Clinical_Advice,Evidence_Type
Warfarin,Aspirin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Ibuprofen,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Paracetamol,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Fluoxetine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Sertraline,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Digoxin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Amiodarone,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Metformin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Insulin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Ciprofloxacin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
